Latitude,Longitude,Nama
-6.90741,107.78115,Jembatan Staat Spoors
-6.90605,107.78204,Jembatan
-6.90421,107.78565,Jembatan Staat Spoors II
-6.96035,107.79669,Jembatan Jati mukti
-6.94654,107.78887,Jembatan Citalaga
-6.90860,107.78046,Jembatan Staat Spoors III
-6.95093,107.78570,Jembatan Jl.Cibugur
-6.94992,107.78700,Jembatan Jl.Cibugur II
-6.90423,107.78711,Jembatan Jl.Manglayang
-6.95483,107.77089,Jembatan Jl.Cipancur
-6.90419,107.78688,Jembatan Jl.Staat Spoors IV
-6.92568,107.77872,Jembatan Cincin
-6.95571,107.77364,Jembatan Jl.Munggang
-6.90055,107.78746,Jembatan Cilayung
-6.92582,107.77864,Jembatan JL.Cincin
-6.92924,107.78556,Jembatan Jl.Letda Lukido
-6.91277,107.78292,Jembatan
-6.94478,107.77348,Jembatan Jl.Cikeruh
-6.90523,107.77716,Jembatan Jl.Lurah Bintang
-6.94629,107.75819,Jembatan Jl.Cipancing
-6.93280,107.77540,Jembatan Jalan Raya Cirebon-Bandung
-6.93800,107.78551,Jembatan Jl.Cikeruh II
-6.95137,107.79299,Jembatan Cisempur
-6.93884,107.78787,Jembatan Jl.Cikeruh III
-6.91039,107.77033,Jembatan
-6.91111,107.77619,Jembatan Jl.Cileles
-6.91827,107.77148,Jembatan
-6.95162,107.79223,Jembatan Cisempur II
-6.91189,107.78143,Jembatan Jl.Staat Spoors V
-6.91790,107.77821,Jembatan Jl.Cintong
-6.92848,107.78194,Jembatan Jalan Raya Cirebon-Bandung
-6.91931,107.77389,Jembatan Jl.Cinenggang
