Latitude,Longitude,Nama
-6.95474,107.75675,SD Negeri Korpri
-6.95502,107.78194,MAI Al Yahya
-6.94845,107.78979,SDN PARIPURNA
-6.94471,107.78787,SDN Talagamukti
-6.94400,107.76350,SDN 1 Cipacing
-6.94904,107.79436,TK SD Inklusi Al-Ghozali Jatinangor
-6.93852,107.76962,SMK Padjadjaran Jatinangor
-6.94781,107.75805,SMA Al Ma'soem
-6.93403,107.76045,SDN Cibeusi
-6.92847,107.77819,SMA Negeri Jatinangor
-6.95315,107.77149,SDN Sirnagalih
-6.92743,107.78082,SDN Neglasari
-6.93357,107.78767,LPK Matahari Perdana (SO)
-6.90340,107.77758,TPQ AR RAYYAN
-6.94365,107.77557,SMK Pasundan Jatinangor
-6.89681,107.77771,MI Swasta Miftahul Ulum Cipaku
-6.94491,107.76739,SMK PUI JATINANGOR
-6.91113,107.77687,SDN Cileles
-6.94887,107.77168,SDN Mekarsari
-6.93934,107.78788,SDN Jatiroke II
-6.94805,107.77264,SDN Sayang
